pclass,age,sibsp,parch,fare,sex_male,survived
1,4.0,0,2,81.8583,1,1
2,13.0,0,1,19.5,0,1
1,34.0,0,0,26.55,1,1
3,5.0,2,1,19.2583,0,1
1,52.0,0,0,30.5,1,1
2,36.0,1,2,27.75,1,0
3,24.275840783156916,1,0,19.9667,1,0
1,30.0,0,0,27.75,1,0
1,49.0,1,0,89.1042,1,1
3,28.29253072484418,0,0,8.05,1,0
3,29.0,0,0,7.8958,1,1
1,65.0,0,0,26.55,1,0
1,34.484468111985144,1,0,51.8625,0,1
2,50.0,0,0,10.5,0,1
3,28.297906399976743,0,0,7.75,1,0
1,48.0,0,0,26.55,1,1
3,34.0,0,0,8.05,1,0
1,47.0,0,0,38.5,1,0
2,48.0,0,0,13.0,1,0
3,28.29253072484418,0,0,8.05,1,0
3,38.0,0,0,7.05,1,0
2,35.44815777780063,0,0,0.0,1,0
1,56.0,0,0,26.55,1,0
3,28.298354372904456,0,0,7.725,1,0
3,0.75,2,1,19.2583,0,1
3,28.306865858531012,0,0,7.25,1,0
3,38.0,0,0,8.6625,1,0
2,33.0,1,2,27.75,0,1
2,23.0,0,0,13.7917,0,1
3,22.0,0,0,9.8375,0,0
1,41.52775385838913,0,0,52.0,1,0
2,34.0,1,0,21.0,1,0
3,29.0,1,0,7.0458,1,0
3,22.0,0,0,7.5208,1,0
3,2.0,0,1,12.2875,0,1
3,9.0,5,2,46.9,1,0
2,35.44815777780063,0,0,0.0,1,0
3,50.0,0,0,8.05,1,0
3,63.0,0,0,9.5875,0,1
1,25.0,1,0,91.0792,1,1
3,12.5565173613127,3,1,25.4667,0,0
1,35.0,1,0,90.0,0,1
1,58.0,0,0,29.7,1,0
3,30.0,0,0,8.05,1,0
3,9.0,1,1,15.9,1,1
3,24.275840783156916,1,0,19.9667,1,0
3,21.0,0,0,7.25,1,0
1,55.0,0,0,30.5,1,0
1,71.0,0,0,49.5042,1,0
3,21.0,0,0,8.05,1,0
3,28.17770092833751,0,0,14.4583,1,0
1,54.0,1,0,78.2667,0,1
3,28.166202359228958,0,0,15.1,1,0
1,25.0,1,2,151.55,0,0
3,24.0,0,0,7.7958,1,0
3,17.0,0,0,8.6625,1,0
3,21.0,0,0,7.75,0,0
3,25.05747698983694,0,0,7.6292,0,0
3,37.0,0,0,9.5875,0,0
1,16.0,0,0,86.5,0,1
1,18.0,1,0,108.9,1,0
2,33.0,0,2,26.0,0,1
1,41.98379029880152,0,0,26.55,1,1
3,28.0,0,0,22.525,1,0
3,26.0,0,0,56.4958,1,1
3,29.0,0,0,7.75,1,1
3,28.29253072484418,0,0,8.05,1,0
1,36.0,0,0,26.2875,1,1
1,54.0,1,0,59.4,0,1
3,24.0,0,0,7.4958,1,0
1,47.0,0,0,34.0208,1,0
2,34.0,0,0,10.5,0,1
3,28.004036159396655,0,0,24.15,1,0
2,36.0,1,0,26.0,0,1
3,32.0,0,0,7.8958,1,0
1,30.0,0,0,93.5,0,1
3,22.0,0,0,7.8958,1,0
3,28.307313831458725,0,0,7.225,1,0
1,44.0,0,1,57.9792,0,1
3,28.30723857200687,0,0,7.2292,1,0
3,40.5,0,0,7.75,1,0
2,50.0,0,0,10.5,0,1
1,38.48549444683458,0,0,221.7792,1,0
3,39.0,0,0,7.925,1,0
2,23.0,2,1,11.5,1,0
2,2.0,1,1,26.0,0,1
3,28.30723857200687,0,0,7.2292,1,0
3,17.0,1,1,7.2292,1,0
3,23.249819071731686,0,2,22.3583,0,1
3,30.0,0,0,8.6625,0,0
2,7.0,0,2,26.25,0,1
1,45.0,0,0,26.55,1,0
1,30.0,0,0,106.425,0,1
3,28.176953709494082,0,0,14.5,1,0
1,22.0,0,2,49.5,0,1
1,36.0,0,2,71.0,0,1
3,9.0,4,2,31.275,0,0
3,11.0,4,2,31.275,0,0
2,32.0,1,0,26.0,1,1
1,50.0,1,0,106.425,1,0
1,64.0,0,0,26.0,1,0
2,19.0,1,0,26.0,0,1
2,35.199756789383464,0,0,13.8625,1,1
3,33.0,1,1,20.525,1,0
2,8.0,1,1,36.75,1,1
1,17.0,0,2,110.8833,1,1
2,27.0,0,0,26.0,1,0
3,28.296487221741746,0,0,7.8292,1,0
3,22.0,0,0,7.225,1,1
3,22.0,0,0,7.775,0,1
1,62.0,0,0,26.55,1,0
1,48.0,1,0,39.6,0,1
1,38.38253593291232,0,0,227.525,1,0
1,39.0,1,1,79.65,0,1
3,36.0,1,0,17.4,0,1
3,28.297906399976743,0,0,7.75,1,0
3,40.0,0,0,7.8958,1,0
2,28.0,0,0,13.5,1,0
3,28.29253072484418,0,0,8.05,1,0
3,25.049936709517667,0,0,8.05,0,0
3,24.0,2,0,24.15,1,0
3,19.0,0,0,7.8958,1,0
3,29.0,0,4,21.075,0,0
3,28.30723857200687,0,0,7.2292,1,0
3,32.0,0,0,7.8542,1,1
2,62.0,0,0,10.5,1,1
1,53.0,2,0,51.4792,0,1
1,36.0,0,0,26.3875,1,1
3,25.05531238465023,0,0,7.75,0,1
3,16.0,0,0,8.05,1,0
3,19.0,0,0,14.5,1,0
2,34.0,0,0,13.0,0,1
1,39.0,1,0,55.9,0,1
3,21.131951330831093,1,0,14.4583,0,0
3,32.0,0,0,7.925,1,1
2,25.0,1,1,30.0,0,1
1,39.0,1,1,110.8833,0,1
2,54.0,0,0,26.0,1,0
1,36.0,0,0,40.125,1,0
3,28.280659442259772,0,0,8.7125,1,0
1,18.0,0,2,79.65,0,1
2,47.0,0,0,15.0,1,0
1,60.0,1,1,79.2,1,1
3,22.0,0,0,8.05,1,0
3,28.29253072484418,0,0,8.05,1,0
3,35.0,0,0,7.125,1,0
1,52.0,1,0,78.2667,0,1
3,47.0,0,0,7.25,1,0
3,23.5115839885284,0,2,7.75,0,0
2,37.0,1,0,26.0,1,0
3,36.0,1,1,24.15,1,0
2,31.614239497892232,0,0,33.0,0,1
3,49.0,0,0,0.0,1,0
3,28.307313831458725,0,0,7.225,1,0
1,49.0,1,0,56.9292,1,1
2,24.0,2,1,27.0,0,1
3,28.295293821862316,0,0,7.8958,1,0
1,41.69977546263114,0,0,42.4,1,0
3,44.0,0,0,8.05,1,0
1,35.0,0,0,26.55,1,1
3,36.0,1,0,15.55,1,0
3,30.0,0,0,7.8958,1,0
1,27.0,0,0,30.5,1,1
2,22.0,1,2,41.5792,0,1
1,40.0,0,0,153.4625,0,1
3,39.0,1,5,31.275,0,0
3,28.310449641952722,0,0,7.05,1,0
3,21.113285194879126,1,0,15.5,0,1
3,28.297906399976743,0,0,7.75,1,0
3,35.0,0,0,8.05,1,0
2,24.0,1,2,65.0,0,1
3,34.0,1,1,14.4,1,0
3,26.0,1,0,16.1,0,0
2,4.0,2,1,39.0,0,1
2,26.0,0,0,10.5,1,0
3,27.0,1,0,14.4542,1,0
1,42.0,1,0,52.5542,1,1
3,20.0,1,1,15.7417,1,1
3,21.0,0,0,7.8542,1,0
3,21.0,0,0,16.1,1,0
1,61.0,0,0,32.3208,1,0
2,57.0,0,0,12.35,1,0
1,21.0,0,0,77.9583,0,1
3,26.0,0,0,7.8958,1,0
3,28.298205645892455,0,0,7.7333,1,0
1,80.0,0,0,30.0,1,1
3,51.0,0,0,7.0542,1,0
1,32.0,0,0,30.5,1,1
1,42.45953754803331,0,0,0.0,1,0
3,9.0,3,2,27.9,0,0
2,28.0,0,0,13.0,0,1
3,32.0,0,0,7.925,1,0
2,31.0,1,1,26.25,1,0
3,41.0,0,5,39.6875,0,0
3,24.345127859940515,1,0,16.1,1,0
3,20.0,0,0,7.8542,1,0
1,24.0,0,0,69.3,0,1
3,2.0,3,2,27.9,0,0
3,27.42443445038718,0,0,56.4958,1,1
3,0.75,2,1,19.2583,0,1
1,48.0,1,0,76.7292,1,1
3,19.0,0,0,7.8958,1,0
1,56.0,0,0,35.5,1,1
3,28.30149018339845,0,0,7.55,1,0
3,23.0,0,0,7.55,0,1
3,28.295293821862316,0,0,7.8958,1,0
2,18.0,0,1,23.0,0,1
3,21.0,0,0,8.4333,1,0
3,25.053893206415232,0,0,7.8292,0,1
3,18.0,0,0,6.75,0,0
2,24.0,2,0,73.5,1,0
3,28.295293821862316,0,0,7.8958,1,0
3,32.0,1,1,15.5,0,0
2,23.0,0,0,13.0,1,0
1,58.0,0,2,113.275,1,0
1,50.0,2,0,133.65,1,1
3,40.0,0,0,7.225,1,0
1,47.0,0,0,25.5875,1,0
3,36.0,0,0,7.4958,1,0
3,20.0,1,0,7.925,1,1
2,32.0,2,0,73.5,1,0
2,25.0,0,0,13.0,1,0
3,28.29745842704903,0,0,7.775,1,0
3,43.0,0,0,8.05,1,0
1,34.48200426088272,1,0,52.0,0,1
2,40.0,1,1,39.0,0,1
1,31.0,1,0,52.0,1,0
2,70.0,0,0,10.5,1,0
2,31.0,0,0,13.0,1,1
2,35.44815777780063,0,0,0.0,1,0
3,18.0,0,0,7.775,1,0
3,24.5,0,0,8.05,1,0
3,18.0,0,0,9.8417,0,1
3,43.0,1,6,46.9,0,0
1,36.0,0,1,512.3292,1,1
3,25.04836880427067,0,0,8.1375,0,0
1,27.0,0,0,76.7292,1,1
3,20.0,0,0,9.225,1,0
3,14.0,5,2,46.9,1,0
2,60.0,1,1,39.0,1,0
2,25.0,1,2,41.5792,1,0
3,14.0,4,1,39.6875,1,0
3,19.0,0,0,10.1708,1,0
3,18.0,0,0,7.7958,1,0
1,15.0,0,1,211.3375,0,1
1,31.0,1,0,57.0,1,1
3,4.0,0,1,13.4167,0,1
3,27.42443445038718,0,0,56.4958,1,1
3,25.0,0,0,7.225,1,0
1,60.0,0,0,26.55,1,0
2,52.0,0,0,13.5,1,0
3,44.0,0,0,8.05,1,0
3,25.05561163056594,0,0,7.7333,0,1
1,49.0,1,1,110.8833,1,0
3,42.0,0,0,7.65,1,0
1,18.0,1,0,227.525,0,1
1,35.0,0,0,26.2875,1,1
3,18.0,0,1,14.4542,0,0
3,25.0,0,0,7.7417,1,0
3,26.0,1,0,7.8542,1,0
2,39.0,0,0,26.0,1,0
2,45.0,0,0,13.5,0,1
1,42.0,0,0,26.2875,1,1
1,22.0,0,0,151.55,0,1
3,23.58857000087372,1,1,15.2458,1,1
1,24.0,0,0,49.5042,0,1
1,41.98379029880152,0,0,26.55,1,0
1,48.0,1,0,52.0,1,1
3,29.0,0,0,9.4833,1,0
2,52.0,0,0,13.0,1,0
3,19.0,0,0,7.65,1,0
1,38.0,0,0,227.525,0,1
2,27.0,0,0,10.5,0,1
3,28.159034792385544,0,0,15.5,1,0
3,33.0,0,0,7.775,1,0
2,6.0,0,1,33.0,0,1
3,17.0,1,0,7.0542,1,0
2,34.0,0,0,13.0,1,0
2,50.0,0,0,13.0,1,0
1,27.0,1,0,53.1,1,1
3,20.0,0,0,8.6625,1,0
2,30.0,3,0,21.0,0,1
3,25.055536371114083,0,0,7.7375,0,1
2,25.0,1,0,26.0,1,0
3,25.0,1,0,7.925,0,0
1,29.0,0,0,211.3375,0,1
3,11.0,0,0,18.7875,1,0
2,35.44815777780063,0,0,0.0,1,0
2,23.0,0,0,13.0,1,0
2,23.0,0,0,13.0,1,0
3,28.5,0,0,16.1,1,0
3,48.0,1,3,34.375,0,0
1,35.0,0,0,512.3292,1,1
3,28.295293821862316,0,0,7.8958,1,0
3,28.295293821862316,0,0,7.8958,1,0
1,41.921970034777054,0,0,30.0,1,1
1,36.0,1,0,78.85,1,0
1,21.0,2,2,262.375,0,1
3,24.0,1,0,16.1,1,0
3,31.0,0,0,7.925,1,1
1,70.0,1,1,71.0,1,0
3,16.0,1,1,20.25,1,0
2,30.0,0,0,13.0,0,1
1,19.0,1,0,53.1,1,0
3,31.0,0,0,7.75,1,0
2,4.0,1,1,23.0,0,1
3,6.0,0,1,12.475,1,1
3,33.0,0,0,9.5,1,0
3,23.0,0,0,7.8958,1,0
2,48.0,1,2,65.0,0,1
2,0.67,1,1,14.5,1,1
3,28.0,0,0,7.7958,1,0
2,18.0,0,0,11.5,1,0
3,34.0,0,0,8.05,1,0
1,33.0,0,0,86.5,0,1
3,28.176953709494082,0,0,14.5,1,0
3,41.0,0,0,7.125,1,0
3,20.0,0,0,7.2292,1,1
1,36.0,1,2,120.0,0,1
3,16.0,0,0,7.775,1,0
1,51.0,1,0,77.9583,0,1
1,41.749948430535056,0,0,39.6,1,0
3,30.5,0,0,7.75,0,0
3,24.200880577216754,1,0,24.15,1,0
3,32.0,0,0,8.3625,1,0
3,24.0,0,0,9.5,1,0
3,48.0,0,0,7.8542,1,0
2,57.0,0,0,10.5,0,0
3,28.307313831458725,0,0,7.225,1,0
2,54.0,1,3,23.0,0,1
3,18.0,0,0,7.75,1,0
3,28.297906399976743,0,0,7.75,1,0
3,5.0,0,0,12.475,0,1
3,28.298130386440597,0,0,7.7375,1,0
1,43.0,0,1,211.3375,0,1
3,13.0,0,0,7.2292,0,1
1,17.0,1,0,57.0,0,1
1,29.0,0,0,30.0,1,0
3,22.669695423070902,1,2,23.45,1,0
3,25.0,0,0,7.05,1,0
3,25.0,0,0,7.25,1,0
3,18.0,0,0,7.4958,0,1
3,8.0,4,1,29.125,1,0
3,1.0,1,2,20.575,1,1
1,46.0,0,0,79.2,1,0
3,28.297906399976743,0,0,7.75,1,0
2,16.0,0,0,26.0,1,0
3,-8.021049746218708,8,2,69.55,0,0
1,41.90950205225293,0,0,30.6958,1,0
3,25.0,0,0,7.8958,1,0
2,39.0,0,0,13.0,1,0
1,49.0,0,0,25.9292,0,1
3,31.0,0,0,8.6833,0,1
3,30.0,0,0,7.2292,1,0
3,30.0,1,1,24.15,0,0
2,34.0,0,0,13.0,1,0
2,31.0,1,1,26.25,0,1
1,11.0,1,2,120.0,1,1
3,0.42,0,1,8.5167,1,1
3,27.0,0,0,6.975,1,1
3,31.0,0,0,7.775,1,0
1,39.0,0,0,0.0,1,0
3,18.0,0,0,7.775,0,0
2,39.0,0,0,13.0,1,0
1,33.0,1,0,53.1,0,1
3,26.0,0,0,7.8875,1,0
3,39.0,0,0,24.15,1,0
2,35.0,0,0,10.5,1,0
3,6.0,4,2,31.275,0,0
3,30.5,0,0,8.05,1,0
1,42.45953754803331,0,0,0.0,1,0
3,23.0,0,0,7.925,0,0
2,31.0,1,1,37.0042,1,0
3,43.0,0,0,6.45,1,0
3,10.0,3,2,27.9,1,0
1,52.0,1,1,93.5,0,1
3,27.0,0,0,8.6625,1,1
1,38.0,0,0,0.0,1,0
3,27.0,0,1,12.475,0,1
3,2.0,4,1,39.6875,1,0
3,28.312241533663574,0,0,6.95,1,0
3,27.42443445038718,0,0,56.4958,1,0
2,1.0,0,2,37.0042,1,1
3,28.297906399976743,0,0,7.75,1,1
1,62.0,0,0,80.0,0,1
3,15.0,1,0,14.4542,0,1
2,0.83,1,1,18.75,1,1
3,28.30723857200687,0,0,7.2292,1,0
3,23.0,0,0,7.8542,1,0
3,18.0,0,0,8.3,1,0
1,39.0,1,1,83.1583,0,1
3,21.0,0,0,8.6625,1,0
3,28.29253072484418,0,0,8.05,1,0
3,32.0,0,0,56.4958,1,1
1,41.927345709909616,0,0,29.7,1,1
3,20.0,0,0,7.925,1,0
2,16.0,0,0,10.5,1,0
1,30.0,0,0,31.0,0,1
3,34.5,0,0,6.4375,1,0
3,17.0,0,0,8.6625,1,0
3,42.0,0,0,7.55,1,0
3,-4.7784557308921976,8,2,69.55,1,0
3,35.0,0,0,7.8958,1,0
2,28.0,0,1,33.0,1,0
1,33.817137176703966,1,0,89.1042,0,1
3,4.0,4,2,31.275,1,0
3,74.0,0,0,7.775,1,0
3,9.0,1,1,15.2458,0,0
1,16.0,0,1,39.4,0,1
2,44.0,1,0,26.0,0,0
3,18.0,0,1,9.35,0,1
1,45.0,1,1,164.8667,0,1
1,51.0,0,0,26.55,1,1
3,24.0,0,3,19.2583,0,1
3,28.30723857200687,0,0,7.2292,1,0
3,41.0,2,0,14.1083,1,0
2,21.0,1,0,11.5,1,0
1,48.0,0,0,25.9292,0,1
3,-8.021049746218708,8,2,69.55,0,0
2,24.0,0,0,13.0,1,0
2,42.0,0,0,13.0,0,1
2,27.0,1,0,13.8583,0,1
1,31.0,0,0,50.4958,1,0
3,28.266548295036795,0,0,9.5,1,0
3,4.0,1,1,11.1333,1,1
3,26.0,0,0,7.8958,1,0
1,47.0,1,1,52.5542,0,1
1,33.0,0,0,5.0,1,0
3,47.0,0,0,9.0,1,0
2,28.0,1,0,24.0,0,1
3,15.0,0,0,7.225,0,1
3,20.0,0,0,9.8458,1,0
3,19.0,0,0,7.8958,1,0
3,28.295293821862316,0,0,7.8958,1,0
1,56.0,0,1,83.1583,0,1
2,25.0,0,1,26.0,0,1
3,33.0,0,0,7.8958,1,0
3,22.0,0,0,10.5167,0,0
2,28.0,0,0,10.5,1,0
3,25.0,0,0,7.05,1,0
3,39.0,0,5,29.125,0,0
2,27.0,0,0,13.0,1,0
1,19.0,0,0,30.0,0,1
3,19.42710140774439,1,2,23.45,0,0
1,26.0,0,0,30.0,1,1
3,32.0,0,0,7.75,1,0
